IBAN,AMOUNT,CURRENCY_CODE,OPENING_DATE,CUSTOMER_ID
RO09FBOR34611492699817560792011489,6000.0,RON,2022-04-30,1930729000000
RO09FBOR52115435221442244328437720,0.0,USD,2022-04-30,1930729000000
RO09FBOR54254436039329627165161597,0.0,RON,2022-04-30,1910422111111
RO09FBOR37534003117260171938666116,0.0,RON,2022-04-30,2880304222222
RO09FBOR72093930793525465569540604,0.0,RON,2022-04-30,2950715333333
RO09FBOR16612886563519029677266238,0.0,RON,2022-04-30,111111
RO09FBOR91759978710274550052450732,0.0,RON,2022-04-30,222222
RO09FBOR00806906351111442535384830,0.0,RON,2022-04-30,333333
RO09FBOR94517835231872799208086041,0.0,RON,2022-04-30,444444
RO09FBOR37251133364461865976509838,0.0,EUR,2022-04-30,444444
